id,store_id,branch_id,shift_id,counted_by,counted_at,note,created_at,updated_at
1,1,2,2,1,2026-02-02 10:40:39.415183+00,,2026-02-02 10:40:39.415183+00,2026-02-02 10:40:39.415183+00
2,1,1,1,1,2026-02-02 11:03:14.61172+00,,2026-02-02 11:03:14.61172+00,2026-02-02 11:03:14.61172+00
3,1,2,3,1,2026-02-02 11:29:21.288754+00,,2026-02-02 11:29:21.288754+00,2026-02-02 11:29:21.288754+00
4,1,1,4,1,2026-02-02 12:27:30.479967+00,,2026-02-02 12:27:30.479967+00,2026-02-02 12:27:30.479967+00
5,1,1,5,1,2026-02-03 08:15:08.335529+00,,2026-02-03 08:15:08.335529+00,2026-02-03 08:15:08.335529+00
